lemma	POS	freq	declension
равильно	ADV	12	
принадлежать	V	12	
по-моему	ADV	12	
устюшин	S	12	2
тегумывать	V	12	
полно	ADV	11	
ну-ка	INTJ	11	
варить	V	11	
шуметь	V	11	
везти	V	11	
снежок	S	11	2
чисто	ADV	11	
беречь	V	11	
понести	V	11	
потянуть	V	11	
помощь	S	11	3
сметана	S	11	1
надоедать	V	11	
таять	V	11	
прятаться	V	11	
чей	APRO	11	
наверное	ADV	11	
столько	NUM	11	
раскрывать	V	11	
некоторый	APRO	11	
дикий	A	11	
спорить	V	11	
восклицать	V	11	
ум	S	11	2
аленка	S	11	1
скворушка	S	11	1
вздыхать	V	11	
мелкий	A	11	
полосатый	A	11	
сорок	NUM	11	
карандаш	S	11	2
помчаться	V	11	
стул	S	11	2
поделать	V	11	
торчать	V	11	
тень	S	11	3
погадать	V	11	
водить	V	11	
бум	INTJ	11	
пустыня	S	11	1
неужели	PART	11	
вслед	ADV	11	
горло	S	11	2
кушать	V	11	
варение	S	11	2
злодей	S	11	2
желать	V	11	
проглатывать	V	11	
наставать	V	11	
понятно	ADV	11	
выдумывать	V	11	
следующий	A	11	
крепкий	A	11	
пасть	S	11	3
увидать	V	11	
морской	A	11	
при	PR	11	
улитка	S	11	1
слишком	ADV	11	
животик	S	11	2
коса	S	11	1
мария	S	11	1
совершенно	ADV	11	
ничего	ADV	11	
порядок	S	11	2
мертвый	A	11	
больно	ADV	11	
волшебный	A	11	
полезный	A	11	
задавать	V	11	
сиять	V	11	
дурак	S	11	2
автобус	S	11	2
могила	S	11	1
кажется	ADV	11	
трогать	V	11	
товарищ	S	11	2
нож	S	11	2
богатырь	S	11	2
леденец	S	11	2
стальной	A	11	
п	S	10	Н
еда	S	10	1
кувшин	S	10	2
мыть	V	10	
топить	V	10	
ре	S	10	Н
мушка	S	10	1
дух	S	10	2
одеяло	S	10	2
метель	S	10	3
раздаваться	V	10	
цыпленок	S	10	2
к	S	10	Н
вытаскивать	V	10	
мука	S	10	1
послушать	V	10	
месить	V	10	
морда	S	10	1
волчок	S	10	2
бревно	S	10	2
строить	V	10	
мешать	V	10	
сторож	S	10	2
усатый	A	10	
светофор	S	10	2
понравиться	V	10	
листочек	S	10	2
замерзать	V	10	
сзади	ADV	10	
светить	V	10	
ручеек	S	10	2
солнечный	A	10	
пассажир	S	10	2
кубик	S	10	2
крик	S	10	2
смех	S	10	2
рассвет	S	10	2
обижаться	V	10	
дым	S	10	2
стараться	V	10	
никуда	ADVPRO	10	
ловко	ADV	10	
поскакать	V	10	
котик	S	10	2
чаща	S	10	1
лавочка	S	10	1
вынимать	V	10	
обнимать	V	10	
пень	S	10	2
сыночек	S	10	2
скок	S	10	2
удивительный	A	10	
наедаться	V	10	
голодный	A	10	
представлять	V	10	
открытый	A	10	
удочка	S	10	1
базар	S	10	2
покидать	V	10	
жук	S	10	2
махать	V	10	
козленочек	S	10	2
горевать	V	10	
закружиться	V	10	
зерно	S	10	2
находиться	V	10	
лестница	S	10	1
тихонько	ADV	10	
пыль	S	10	3
хрю-хрю	INTJ	10	
важный	A	10	
камушек	S	10	2
малый	A	10	
детский	A	10	
мир	S	10	2
служить	V	10	
репа	S	10	1
полка	S	10	1
младший	A	10	
фея	S	10	1
натягивать	V	10	
запад	S	10	2
корка	S	10	1
тонкий	A	10	
перина	S	10	1
гномик	S	10	2
мясо	S	10	2
царский	A	10	
позволять	V	10	
государство	S	10	2
каравай	S	10	2
приказывать	V	10	
кость	S	10	3
выбирать	V	10	
север	S	10	2
дядюшка	S	10	1
граница	S	10	1
одежда	S	10	1
александр	S	10	2
бурундук	S	10	2
меч	S	10	2
пещера	S	10	1
цветик	S	10	2
ферро	S	10	Н
царица	S	10	1
пугать	V	9	
поутру	ADV	9	
чик	S	9	2
лужок	S	9	2
глянуть	V	9	
пруд	S	9	2
ребеночек	S	9	2
снести	V	9	
мех	S	9	2
свернуться	V	9	
хорошенько	ADV	9	
токмаков	S	9	2
поиграть	V	9	
самолет	S	9	2
мотор	S	9	2
ух	INTJ	9	
пора	ADV	9	
тоненький	A	9	
укрываться	V	9	
купаться	V	9	
вкусный	A	9	
шутка	S	9	1
спинка	S	9	1
лук	S	9	2
огурец	S	9	2
масло	S	9	2
порог	S	9	2
косой	A	9	
славный	A	9	
махнуть	V	9	
горе	S	9	2
шляпа	S	9	1
реветь	V	9	
прочь	ADV	9	
охота	S	9	1
капитан	S	9	2
шагать	V	9	
квартира	S	9	1
океан	S	9	2
одевать	V	9	
настроение	S	9	2
опушка	S	9	1
вспомнить	V	9	
